target_angular,actual_angular,target_velocity,actual_velocity,time
1.63754,1.59122,1.7167,-1.88385,0.385
1.63926,1.59122,1.71893,-1.88385,0.386
1.64098,1.59122,1.72115,-1.88385,0.387
1.6427,1.59122,1.72336,-1.88385,0.388
1.64443,1.59122,1.72555,-1.88385,0.389
1.64616,1.60291,1.72774,4.57386,0.39
1.64788,1.60796,1.72991,5.0455,0.391
1.64962,1.60796,1.73207,5.0455,0.392
1.65135,1.60796,1.73423,5.0455,0.393
1.65308,1.60796,1.73637,5.0455,0.394
1.65482,1.60796,1.7385,5.0455,0.395
1.65656,1.60796,1.74062,5.0455,0.396
1.6583,1.60796,1.74272,5.0455,0.397
1.66005,1.60796,1.74482,5.0455,0.398
1.66179,1.60796,1.74691,5.0455,0.399
1.66354,1.60796,1.74898,5.0455,0.4
1.66529,1.60796,1.75105,5.0455,0.401
1.66704,1.60796,1.7531,5.0455,0.402
1.6688,1.60796,1.75514,5.0455,0.403
1.67055,1.60796,1.75717,5.0455,0.404
1.67231,1.60796,1.75919,5.0455,0.405
1.67407,1.60796,1.7612,5.0455,0.406
1.67583,1.60796,1.7632,5.0455,0.407
1.6776,1.60796,1.76519,5.0455,0.408
1.67936,1.65299,1.76717,0.767089,0.409
1.68113,1.6541,1.76914,0.48814,0.41
1.6829,1.65446,1.77109,0.361461,0.411
1.68467,1.65446,1.77304,0.361461,0.412
1.68645,1.65446,1.77497,0.361461,0.413
1.68822,1.65446,1.7769,0.361461,0.414
1.69,1.65446,1.77881,0.361461,0.415
1.69178,1.65446,1.78071,0.361461,0.416
1.69356,1.65446,1.7826,0.361461,0.417
1.69535,1.65446,1.78449,0.361461,0.418
1.69713,1.65446,1.78636,0.361461,0.419
1.69892,1.65446,1.78822,0.361461,0.42
1.70071,1.65446,1.79006,0.361461,0.421
1.7025,1.65446,1.7919,0.361461,0.422
1.70429,1.65446,1.79373,0.361461,0.423
1.70609,1.65446,1.79555,0.361461,0.424
1.70788,1.65446,1.79735,0.361461,0.425
1.70968,1.65446,1.79915,0.361461,0.426
1.71148,1.65446,1.80094,0.361461,0.427
1.71328,1.68287,1.80271,3.4098,0.428
1.71509,1.68648,1.80447,3.61608,0.429
1.71689,1.68648,1.80623,3.61608,0.43
1.7187,1.68648,1.80797,3.61608,0.431
1.72051,1.68648,1.8097,3.61608,0.432
1.72232,1.68648,1.81143,3.61608,0.433
1.72413,1.68648,1.81314,3.61608,0.434
1.72594,1.68648,1.81484,3.61608,0.435
1.72776,1.68648,1.81653,3.61608,0.436
1.72958,1.68648,1.81821,3.61608,0.437
1.7314,1.68648,1.81988,3.61608,0.438
1.73322,1.68648,1.82154,3.61608,0.439
1.73504,1.68648,1.82319,3.61608,0.44
1.73686,1.68648,1.82483,3.61608,0.441
1.73869,1.68648,1.82645,3.61608,0.442
1.74052,1.68648,1.82807,3.61608,0.443
1.74235,1.68648,1.82968,3.61608,0.444
1.74418,1.68648,1.83127,3.61608,0.445
1.74601,1.72682,1.83286,0.882147,0.446
1.74784,1.72764,1.83444,0.825496,0.447
1.74968,1.72764,1.836,0.825496,0.448
1.75151,1.72764,1.83756,0.825496,0.449
1.75335,1.72764,1.8391,0.825496,0.45
1.75519,1.72764,1.84064,0.825496,0.451
1.75703,1.72764,1.84216,0.825496,0.452
1.75888,1.72764,1.84367,0.825496,0.453
1.76072,1.72764,1.84518,0.825496,0.454
1.76257,1.72764,1.84667,0.825496,0.455
1.76441,1.72764,1.84815,0.825496,0.456
1.76626,1.72764,1.84963,0.825496,0.457
1.76811,1.72764,1.85109,0.825496,0.458
1.76997,1.72764,1.85254,0.825496,0.459
1.77182,1.72764,1.85398,0.825496,0.46
1.77367,1.72764,1.85541,0.825496,0.461
1.77553,1.72764,1.85683,0.825496,0.462
1.77739,1.72764,1.85824,0.825496,0.463
1.77925,1.72764,1.85964,0.825496,0.464
1.78111,1.75149,1.86103,2.38999,0.465
1.78297,1.75407,1.86241,2.58002,0.466
1.78483,1.75407,1.86378,2.58002,0.467
1.7867,1.75407,1.86514,2.58002,0.468
