target_angular,actual_angular,target_velocity,actual_velocity,time
-0.440037,-0.540253,0.359196,-1.26796,0.244
-0.439679,-0.540253,0.356683,-1.26796,0.245
-0.439323,-0.540253,0.354173,-1.26796,0.246
-0.43897,-0.540253,0.351665,-1.26796,0.247
-0.43862,-0.540253,0.34916,-1.26796,0.248
-0.438272,-0.540253,0.346658,-1.26796,0.249
-0.437927,-0.540253,0.344159,-1.26796,0.25
-0.437584,-0.506862,0.341663,4.16677,0.251
-0.437243,-0.506862,0.339169,4.16677,0.252
-0.436905,-0.506862,0.336679,4.16677,0.253
-0.43657,-0.506862,0.334191,4.16677,0.254
-0.436237,-0.506862,0.331705,4.16677,0.255
-0.435907,-0.506862,0.329223,4.16677,0.256
-0.435579,-0.506862,0.326743,4.16677,0.257
-0.435253,-0.506862,0.324266,4.16677,0.258
-0.43493,-0.506862,0.321791,4.16677,0.259
-0.43461,-0.506862,0.319319,4.16677,0.26
-0.434291,-0.462586,0.31685,-0.13657,0.261
-0.433976,-0.462958,0.314384,-0.371778,0.262
-0.433663,-0.462958,0.31192,-0.371778,0.263
-0.433352,-0.462958,0.309459,-0.371778,0.264
-0.433044,-0.462958,0.307,-0.371778,0.265
-0.432738,-0.462958,0.304544,-0.371778,0.266
-0.432435,-0.462958,0.30209,-0.371778,0.267
-0.432134,-0.462958,0.299639,-0.371778,0.268
-0.431835,-0.462958,0.297191,-0.371778,0.269
-0.431539,-0.462958,0.294745,-0.371778,0.27
-0.431246,-0.462958,0.292301,-0.371778,0.271
-0.430955,-0.462958,0.28986,-0.371778,0.272
-0.430666,-0.462958,0.287421,-0.371778,0.273
-0.43038,-0.462958,0.284985,-0.371778,0.274
-0.430096,-0.462958,0.282551,-0.371778,0.275
-0.429815,-0.462958,0.28012,-0.371778,0.276
-0.429536,-0.462958,0.277691,-0.371778,0.277
-0.429259,-0.462958,0.275265,-0.371778,0.278
-0.428985,-0.462958,0.27284,-0.371778,0.279
-0.428714,-0.457036,0.270418,1.3447,0.28
-0.428445,-0.455592,0.267999,1.44408,0.281
-0.428178,-0.455592,0.265581,1.44408,0.282
-0.427913,-0.455592,0.263166,1.44408,0.283
-0.427651,-0.455592,0.260753,1.44408,0.284
-0.427392,-0.455592,0.258343,1.44408,0.285
-0.427135,-0.455592,0.255934,1.44408,0.286
-0.42688,-0.455592,0.253528,1.44408,0.287
-0.426628,-0.455592,0.251124,1.44408,0.288
-0.426378,-0.455592,0.248722,1.44408,0.289
-0.42613,-0.455592,0.246323,1.44408,0.29
-0.425885,-0.455592,0.243925,1.44408,0.291
-0.425642,-0.455592,0.241529,1.44408,0.292
-0.425402,-0.455592,0.239136,1.44408,0.293
-0.425164,-0.455592,0.236744,1.44408,0.294
-0.424929,-0.455592,0.234355,1.44408,0.295
-0.424695,-0.455592,0.231967,1.44408,0.296
-0.424465,-0.455592,0.229582,1.44408,0.297
-0.424236,-0.439065,0.227198,-0.00532818,0.298
-0.42401,-0.439169,0.224817,-0.104221,0.299
-0.423787,-0.439169,0.222437,-0.104221,0.3
-0.423565,-0.439169,0.220059,-0.104221,0.301
-0.423347,-0.439169,0.217683,-0.104221,0.302
-0.42313,-0.439169,0.215309,-0.104221,0.303
-0.422916,-0.439169,0.212937,-0.104221,0.304
-0.422704,-0.439169,0.210566,-0.104221,0.305
-0.422495,-0.439169,0.208198,-0.104221,0.306
-0.422288,-0.439169,0.205831,-0.104221,0.307
-0.422083,-0.439169,0.203465,-0.104221,0.308
-0.421881,-0.439169,0.201102,-0.104221,0.309
-0.421681,-0.439169,0.19874,-0.104221,0.31
-0.421483,-0.439169,0.196379,-0.104221,0.311
-0.421288,-0.439169,0.194021,-0.104221,0.312
-0.421095,-0.439169,0.191664,-0.104221,0.313
-0.420905,-0.439169,0.189308,-0.104221,0.314
-0.420717,-0.439169,0.186954,-0.104221,0.315
-0.420531,-0.439169,0.184602,-0.104221,0.316
-0.420347,-0.439921,0.182251,0.150663,0.317
-0.420166,-0.43976,0.179902,0.161669,0.318
-0.419988,-0.43976,0.177554,0.161669,0.319
-0.419811,-0.43976,0.175207,0.161669,0.32
-0.419637,-0.43976,0.172862,0.161669,0.321
-0.419466,-0.43976,0.170518,0.161669,0.322
-0.419296,-0.43976,0.168175,0.161669,0.323
-0.419129,-0.43976,0.165834,0.161669,0.324
-0.418965,-0.43976,0.163494,0.161669,0.325
-0.418802,-0.43976,0.161156,0.161669,0.326
-0.418642,-0.43976,0.158818,0.161669,0.327
-0.418485,-0.43976,0.156482,0.161669,0.328
-0.418329,-0.43976,0.154147,0.161669,0.329
-0.418176,-0.43976,0.151813,0.161669,0.33
-0.418026,-0.43976,0.149481,0.161669,0.331
-0.417877,-0.43976,0.147149,0.161669,0.332
-0.417731,-0.43976,0.144818,0.161669,0.333
-0.417588,-0.43976,0.142489,0.161669,0.334
-0.417446,-0.431166,0.14016,0.659513,0.335
-0.417307,-0.431166,0.137833,0.659513,0.336
-0.417171,-0.431166,0.135506,0.659513,0.337
-0.417036,-0.431166,0.133181,0.659513,0.338
-0.416904,-0.431166,0.130856,0.659513,0.339
-0.416775,-0.431166,0.128532,0.659513,0.34
-0.416647,-0.431166,0.126209,0.659513,0.341
-0.416522,-0.431166,0.123887,0.659513,0.342
-0.4164,-0.431166,0.121565,0.659513,0.343
-0.416279,-0.431166,0.119245,0.659513,0.344
-0.416161,-0.431166,0.116925,0.659513,0.345
-0.416045,-0.431166,0.114605,0.659513,0.346
-0.415932,-0.431166,0.112287,0.659513,0.347
-0.415821,-0.431166,0.109969,0.659513,0.348
-0.415712,-0.431166,0.107651,0.659513,0.349
-0.415605,-0.431166,0.105334,0.659513,0.35
-0.415501,-0.431166,0.103018,0.659513,0.351
-0.415399,-0.426183,0.100702,0.0514839,0.352
-0.4153,-0.426725,0.0983867,-0.211577,0.353
-0.415203,-0.426987,0.0960718,-0.261708,0.354
-0.415108,-0.426987,0.0937574,-0.261708,0.355
-0.415015,-0.426987,0.0914432,-0.261708,0.356
-0.414925,-0.426987,0.0891295,-0.261708,0.357
-0.414837,-0.426987,0.086816,-0.261708,0.358
-0.414751,-0.426987,0.0845029,-0.261708,0.359
-0.414668,-0.426987,0.0821899,-0.261708,0.36
-0.414587,-0.426987,0.0798773,-0.261708,0.361
-0.414508,-0.426987,0.0775647,-0.261708,0.362
-0.414432,-0.426987,0.0752524,-0.261708,0.363
-0.414358,-0.426987,0.0729402,-0.261708,0.364
-0.414286,-0.426987,0.070628,-0.261708,0.365
-0.414216,-0.426987,0.0683159,-0.261708,0.366
-0.414149,-0.426987,0.0660039,-0.261708,0.367
-0.414084,-0.426987,0.0636918,-0.261708,0.368
-0.414022,-0.426987,0.0613797,-0.261708,0.369
-0.413962,-0.42797,0.0590674,-0.153945,0.37
-0.413904,-0.424415,0.0567551,0.521581,0.371
-0.413848,-0.423864,0.0544427,0.550939,0.372
-0.413795,-0.423864,0.05213,0.550939,0.373
-0.413744,-0.423864,0.0498172,0.550939,0.374
-0.413695,-0.423864,0.047504,0.550939,0.375
-0.413649,-0.423864,0.0451906,0.550939,0.376
-0.413605,-0.423864,0.0428769,0.550939,0.377
-0.413563,-0.423864,0.0405628,0.550939,0.378
-0.413524,-0.423864,0.0382484,0.550939,0.379
-0.413486,-0.423864,0.0359335,0.550939,0.38
-0.413452,-0.423864,0.0336181,0.550939,0.381
-0.413419,-0.423864,0.0313023,0.550939,0.382
-0.413389,-0.423864,0.0289859,0.550939,0.383
-0.413361,-0.423864,0.0266689,0.550939,0.384
-0.413336,-0.423864,0.0243514,0.550939,0.385
-0.413313,-0.423864,0.0220332,0.550939,0.386
-0.413292,-0.423864,0.0197143,0.550939,0.387
-0.413273,-0.423864,0.0173947,0.550939,0.388
-0.413257,-0.423864,0.0150743,0.550939,0.389
-0.413243,-0.419478,0.0127532,-0.216502,0.39
-0.413231,-0.419746,0.0104312,-0.26882,0.391
-0.413222,-0.419746,0.00810842,-0.26882,0.392
-0.413215,-0.419746,0.00578469,-0.26882,0.393
-0.413211,-0.419746,0.00346003,-0.26882,0.394
-0.413208,-0.419746,0.00113438,-0.26882,0.395
-0.413208,-0.419746,-0.00119227,-0.26882,0.396
-0.413211,-0.419746,-0.00351998,-0.26882,0.397
-0.413215,-0.419746,-0.00584878,-0.26882,0.398
-0.413222,-0.419746,-0.00817871,-0.26882,0.399
-0.413232,-0.419746,-0.0105098,-0.26882,0.4
-0.413243,-0.419746,-0.0128421,-0.26882,0.401
-0.413257,-0.419746,-0.0151757,-0.26882,0.402
-0.413274,-0.419746,-0.0175105,-0.26882,0.403
-0.413292,-0.419746,-0.0198467,-0.26882,0.404
-0.413313,-0.419746,-0.0221842,-0.26882,0.405
-0.413337,-0.419746,-0.0245231,-0.26882,0.406
-0.413362,-0.419746,-0.0268635,-0.26882,0.407
-0.413391,-0.419746,-0.0292053,-0.26882,0.408
-0.413421,-0.420261,-0.0315487,0.182545,0.409
-0.413454,-0.419851,-0.0338937,0.21195,0.41
-0.413489,-0.419626,-0.0362402,0.225331,0.411
-0.413526,-0.419626,-0.0385884,0.225331,0.412
-0.413566,-0.419626,-0.0409383,0.225331,0.413
-0.413608,-0.419626,-0.0432899,0.225331,0.414
-0.413652,-0.419626,-0.0456433,0.225331,0.415
-0.413699,-0.419626,-0.0479985,0.225331,0.416
-0.413748,-0.419626,-0.0503555,0.225331,0.417
-0.4138,-0.419626,-0.0527144,0.225331,0.418
-0.413854,-0.419626,-0.0550753,0.225331,0.419
-0.41391,-0.419626,-0.0574382,0.225331,0.42
-0.413969,-0.419626,-0.059803,0.225331,0.421
-0.41403,-0.419626,-0.06217,0.225331,0.422
-0.414093,-0.419626,-0.064539,0.225331,0.423
-0.414159,-0.419626,-0.0669102,0.225331,0.424
-0.414227,-0.419626,-0.0692836,0.225331,0.425
-0.414297,-0.419626,-0.0716592,0.225331,0.426
-0.41437,-0.419626,-0.0740371,0.225331,0.427
-0.414445,-0.418299,-0.0764173,-0.138308,0.428
-0.414523,-0.41846,-0.0787999,-0.161056,0.429
-0.414603,-0.41846,-0.0811849,-0.161056,0.43
-0.414685,-0.41846,-0.0835724,-0.161056,0.431
-0.41477,-0.41846,-0.0859624,-0.161056,0.432
-0.414857,-0.41846,-0.0883549,-0.161056,0.433
-0.414947,-0.41846,-0.09075,-0.161056,0.434
-0.415039,-0.41846,-0.0931477,-0.161056,0.435
-0.415133,-0.41846,-0.0955481,-0.161056,0.436
-0.41523,-0.41846,-0.0979512,-0.161056,0.437
-0.415329,-0.41846,-0.100357,-0.161056,0.438
-0.415431,-0.41846,-0.102766,-0.161056,0.439
-0.415535,-0.41846,-0.105177,-0.161056,0.44
-0.415641,-0.41846,-0.107592,-0.161056,0.441
-0.41575,-0.41846,-0.110009,-0.161056,0.442
-0.415861,-0.41846,-0.11243,-0.161056,0.443
-0.415975,-0.41846,-0.114853,-0.161056,0.444
-0.416091,-0.41846,-0.11728,-0.161056,0.445
-0.416209,-0.419121,-0.11971,0.0858042,0.446
-0.41633,-0.419031,-0.122143,0.0899897,0.447
-0.416454,-0.419031,-0.124579,0.0899897,0.448
-0.416579,-0.419031,-0.127018,0.0899897,0.449
-0.416708,-0.419031,-0.129461,0.0899897,0.45
-0.416838,-0.419031,-0.131907,0.0899897,0.451
-0.416971,-0.419031,-0.134357,0.0899897,0.452
-0.417107,-0.419031,-0.13681,0.0899897,0.453
-0.417245,-0.419031,-0.139267,0.0899897,0.454
-0.417385,-0.419031,-0.141727,0.0899897,0.455
-0.417528,-0.419031,-0.144191,0.0899897,0.456
-0.417674,-0.419031,-0.146659,0.0899897,0.457
-0.417822,-0.419031,-0.14913,0.0899897,0.458
-0.417972,-0.419031,-0.151605,0.0899897,0.459
-0.418125,-0.419031,-0.154084,0.0899897,0.46
-0.41828,-0.419031,-0.156567,0.0899897,0.461
-0.418438,-0.419031,-0.159053,0.0899897,0.462
-0.418598,-0.419031,-0.161544,0.0899897,0.463
-0.418761,-0.419031,-0.164039,0.0899897,0.464
-0.418926,-0.41875,-0.166538,-0.111499,0.465
-0.419094,-0.418882,-0.169041,-0.132153,0.466
-0.419265,-0.418882,-0.171548,-0.132153,0.467
-0.419437,-0.418882,-0.174059,-0.132153,0.468
-0.419613,-0.418882,-0.176575,-0.132153,0.469
-0.419791,-0.418882,-0.179095,-0.132153,0.47
-0.419971,-0.418882,-0.181619,-0.132153,0.471
-0.420154,-0.418882,-0.184148,-0.132153,0.472
-0.420339,-0.418882,-0.186682,-0.132153,0.473
-0.420527,-0.418882,-0.18922,-0.132153,0.474
-0.420718,-0.418882,-0.191763,-0.132153,0.475
-0.420911,-0.418882,-0.19431,-0.132153,0.476
-0.421106,-0.418882,-0.196862,-0.132153,0.477
-0.421304,-0.418882,-0.199419,-0.132153,0.478
-0.421505,-0.418882,-0.20198,-0.132153,0.479
-0.421708,-0.418882,-0.204547,-0.132153,0.48
-0.421914,-0.418882,-0.207119,-0.132153,0.481
-0.422123,-0.420908,-0.209695,-0.0990658,0.482
